Rk,Player,PTS/G,G,Season,Age,Team,G_2,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G_2,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,PlayerID
11,Paolo Banchero,25.9,46,2024-25,22,ORL,46,46,0,34.4,9.0,19.8,7.1,13.9,1.9,5.9,6.1,8.4,1.1,6.4,7.5,4.8,0.8,0.6,3.0,2.1,25.9,0.452,0.509,0.32,0.727,0.551,0.5,F,banchpa01
12,Devin Booker,25.6,75,2024-25,28,PHO,75,75,0,37.3,8.7,18.9,6.3,11.6,2.4,7.3,5.8,6.4,1.0,3.1,4.1,7.1,0.9,0.2,2.9,2.6,25.6,0.461,0.542,0.332,0.894,0.589,0.525,G,bookede01
13,LaMelo Ball,25.2,47,2024-25,23,CHO,47,47,0,32.0,8.6,21.3,4.8,10.1,3.8,11.2,4.1,4.9,1.0,3.9,4.9,7.4,1.1,0.3,3.6,3.3,25.2,0.405,0.478,0.339,0.843,0.536,0.494,G,ballla01
14,Damian Lillard,24.9,58,2024-25,34,MIL,58,58,1,36.1,7.7,17.1,4.3,8.1,3.4,9.0,6.2,6.8,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,0.448,0.528,0.376,0.921,0.621,0.547,G,lillada01
15,Anthony Davis,24.7,51,2024-25,31,LAL,51,51,1,33.5,9.2,17.8,8.5,15.4,0.7,2.4,5.6,7.2,2.6,8.9,11.6,3.5,1.2,2.2,2.2,1.9,24.7,0.516,0.553,0.282,0.775,0.588,0.536,F-C,davisan02
16,Kyrie Irving,24.7,50,2024-25,32,DAL,50,50,1,36.1,8.9,18.9,6.1,11.7,2.9,7.2,3.9,4.3,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,0.473,0.517,0.401,0.916,0.594,0.549,G,irvinky01
17,Zion Williamson,24.6,30,2024-25,24,NOP,30,30,0,28.6,9.6,16.9,9.5,16.5,0.1,0.4,5.3,8.0,2.5,4.7,7.2,5.3,1.2,0.9,3.0,2.7,24.6,0.567,0.576,0.231,0.656,0.6,0.57,F-C,willizi01
18,Stephen Curry,24.5,70,2024-25,36,GSW,70,70,1,32.2,8.1,18.0,3.6,6.8,4.4,11.2,4.0,4.3,0.6,3.9,4.4,6.0,1.1,0.4,2.9,1.4,24.5,0.448,0.534,0.397,0.933,0.618,0.572,G,curryst01
19,Karl-Anthony Towns,24.4,72,2024-25,29,NYK,72,72,1,35.0,8.9,16.9,6.9,12.2,2.0,4.7,4.7,5.7,2.9,9.8,12.8,3.1,1.0,0.7,2.7,3.5,24.4,0.526,0.567,0.42,0.829,0.63,0.584,C-F,townska01
20,LeBron James,24.4,70,2024-25,40,LAL,70,70,1,34.9,9.3,18.1,7.2,12.5,2.1,5.7,3.7,4.7,1.0,6.8,7.8,8.2,1.0,0.6,3.7,1.4,24.4,0.513,0.574,0.376,0.782,0.604,0.571,F-G,jamesle01
21,Victor Wembanyama,24.3,46,2024-25,21,SAS,46,46,1,33.2,8.9,18.6,5.8,9.9,3.1,8.8,3.4,4.1,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,0.476,0.586,0.352,0.836,0.594,0.559,C-F,wembavi01
22,Trae Young,24.2,76,2024-25,26,ATL,76,76,1,36.0,7.4,18.1,4.6,9.7,2.9,8.4,6.5,7.4,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,0.411,0.474,0.34,0.875,0.567,0.491,G,youngtr01
23,Franz Wagner,24.2,60,2024-25,23,ORL,60,60,0,33.7,9.0,19.4,7.2,13.5,1.7,5.9,4.5,5.2,0.9,4.8,5.7,4.7,1.3,0.4,2.3,2.5,24.2,0.463,0.535,0.295,0.871,0.558,0.507,G-F,wagnefr01
24,Cam Thomas,24.0,25,2024-25,23,BRK,25,23,0,31.2,8.0,18.2,5.2,10.4,2.7,7.8,5.3,6.0,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,24.0,0.438,0.506,0.349,0.881,0.575,0.513,G,thomaca02
25,Donovan Mitchell,24.0,71,2024-25,28,CLE,71,71,1,31.4,8.2,18.6,5.0,9.7,3.3,8.9,4.2,5.1,0.8,3.7,4.5,5.0,1.3,0.2,2.1,2.0,24.0,0.443,0.512,0.368,0.823,0.575,0.531,G,mitchdo01
26,Tyler Herro,23.9,77,2024-25,25,MIA,77,77,1,35.4,8.5,17.9,5.2,9.2,3.3,8.7,3.7,4.2,0.5,4.7,5.2,5.5,0.9,0.2,2.6,1.1,23.9,0.472,0.565,0.375,0.878,0.605,0.563,G,herroty01
27,De'Aaron Fox,23.5,62,2024-25,27,SAS,62,62,0,36.1,8.7,18.8,6.8,12.6,1.9,6.1,4.2,5.1,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.5,0.463,0.538,0.31,0.827,0.56,0.514,G,foxde01
28,Zach LaVine,23.3,74,2024-25,29,SAC,74,74,0,35.2,8.4,16.5,5.2,9.3,3.2,7.2,3.2,3.9,0.3,4.0,4.3,4.2,0.8,0.2,2.8,1.6,23.3,0.511,0.562,0.446,0.825,0.639,0.609,G-F,lavinza01
29,Ja Morant,23.2,50,2024-25,25,MEM,50,50,0,30.4,8.1,17.8,6.3,12.1,1.8,5.7,5.3,6.4,0.7,3.4,4.1,7.3,1.2,0.2,3.7,2.3,23.2,0.454,0.523,0.309,0.824,0.563,0.504,G,moranja01
